# lith v0.1.0 per-instance-class matrix. us-east-1, s3://1000genomes, fair #43 config.
# lith: --mem-cache (default 25% RAM or 32GiB where noted) --disk-cache 0 (NVMe boxes: --disk-cache on /mnt/nvme) --s3-concurrency 128; mount-s3: --read-part-size 8388608, NIC-aware default throughput, no --cache.
# single = 14GiB CRAM seq; readers8 = 8 heterogeneous phase3 CRAMs (3.8-14GiB) cold; rand4k warm; metadata from prebuilt local index.
# NIC_Gbps = advertised ("up to" for <16xlarge; 16xlarge sustained). On-demand $/hr via AWS Price List API.
instance,vCPU,RAM_GiB,NIC_Gbps,local_nvme,usd_per_hr,lith_seq_cold_min,lith_seq_cold_med,lith_seq_cold_max,lith_seq_warm,ms3_seq_cold_med,lith_r8_min,lith_r8_med,lith_r8_max,ms3_r8_med,lith_cpu_pct_r8,lith_rand4k_warm,lith_ls_sec,lith_stat_n,lith_stat_sec,lith_stat_s3reqs,notes
c8g.2xlarge,8,16,15(up to),no,0.31904,1222,1321,1336,1274,1584,172,180,223,1657,49%(1core/~6%box),543433,0.035,100000,0.157,0,"mem-cache 3.9GiB(25%),disk-cache 0; 8-reader PATHOLOGICAL: prefetch windows (8x512MiB) exceed cache with no disk tier -> thrash; warm~cold (14GiB file > cache)"
c8gd.4xlarge,16,32,15(7.5base/15burst),yes,0.78384,1377,1406,1468,1428,1569,1023,1095,1141,1683,201%(2core/~13%box),,0.048,100000,0.174,0,"disk-cache 0 (fair #43); mem-cache 7.8GiB(25%). lith cold single 90% of ms3; 8-reader ~1095 vs ms3 ~1683 (ms3 rides NIC burst to ~13.5Gbps; lith ~8.5Gbps). DISK-ON tradeoff (same box): cold 913 (write-behind caps at NVMe write bw ~7.2Gbps) but warm 2502>ms3 and 8-reader 894 non-pathological. rand4k not captured (mount readdir flake); Graviton rand4k ref ~543k IOPS (box1)"
c8gd.8xlarge,32,64,15(up to),yes,1.56768,1355,1361,1387,19214,1581,1682,1696,1706,1686,309%(3core/~10%box),546873,0.034,100000,0.163,0,"disk-cache 0; mem-cache 15.8GiB holds the 14GiB file -> warm 19.2GB/s (12x ms3); 8-reader PARITY with ms3 (~1696 vs ~1686)"
c8gd.16xlarge,64,128,30(sustained),yes,3.13536,1736,1970,2161,20845,2652,3220,3245,3303,3270,544%(5.4core/~8.5%box),617421,0.032,100000,0.157,0,"disk-cache 0; 8-reader PARITY (3245 vs 3270); warm 20.8GB/s (8x ms3); cold single noisy (ms3 unusually 2652 this run; sessions 8-10: lith~2115>=ms3~1856)"
c8i.4xlarge,16,32,12.5(up to),no,0.74968,1071,1295,1311,1402,1545,1104,1137,1144,1683,364%(3.6core/~23%box),687433,0.035,100000,0.116,0,"x86_64; disk-cache 0, mem-cache 7.9GiB(25%); 8-reader ~1137 NOT pathological (30GiB RAM holds prefetch vs c8g.2xlarge 16GiB); warm 1402>ms3 1065; x86 metadata/rand4k faster than Graviton"
m8g.4xlarge,16,64,15(up to),no,0.71808,1384,1398,1456,20408,1611,1692,1703,1705,1704,402%(4core/~25%box),518217,0.037,100000,0.163,0,"no NVMe but 64GiB RAM (16GiB cache); 8-reader PARITY with ms3 (~1703) -> RAM (not NVMe) is the lever for multi-reader health; warm 20.4GB/s (13x ms3)"
